==14432== NVPROF is profiling process 14432, command: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==14432== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==14432== Profiling application: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==14432== Profiling result:
==14432== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA GeForce GTX 1050 Ti (0)"
    Kernel: brute_force_AL(float const *, unsigned char, float*)
          8                         branch_efficiency                                                     Branch Efficiency      96.72%      96.72%      96.72%
          8                 warp_execution_efficiency                                             Warp Execution Efficiency      87.41%      87.43%      87.42%
          8         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      73.53%      74.42%      73.67%
          8                      inst_replay_overhead                                           Instruction Replay Overhead    0.000543    0.000662    0.000617
          8      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    0.672727    0.847292    0.698354
          8     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    0.705882    0.978085    0.747054
          8       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          8      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          8              gld_transactions_per_request                                  Global Load Transactions Per Request   15.636423   15.636423   15.636423
          8              gst_transactions_per_request                                 Global Store Transactions Per Request    0.028711    0.028934    0.028802
          8                 shared_store_transactions                                             Shared Store Transactions       98304      136212      104037
          8                  shared_load_transactions                                              Shared Load Transactions       75776       95439       78662
          8                   local_load_transactions                                               Local Load Transactions           0           0           0
          8                  local_store_transactions                                              Local Store Transactions           0           0           0
          8                          gld_transactions                                              Global Load Transactions      528386      528386      528386
          8                          gst_transactions                                             Global Store Transactions        1029        1037        1032
          8                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
          8                 sysmem_write_transactions                                      System Memory Write Transactions           5           5           5
          8                      l2_read_transactions                                                  L2 Read Transactions      162121      162456      162278
          8                     l2_write_transactions                                                 L2 Write Transactions       31037       31306       31184
          8                           global_hit_rate                                     Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
          8                            local_hit_rate                                                        Local Hit Rate       0.00%       0.00%       0.00%
          8                  gld_requested_throughput                                      Requested Global Load Throughput  6.4577GB/s  6.5157GB/s  6.5041GB/s
          8                  gst_requested_throughput                                     Requested Global Store Throughput  6.5471MB/s  6.6727MB/s  6.6088MB/s
          8                            gld_throughput                                                Global Load Throughput  6.5018GB/s  6.5602GB/s  6.5485GB/s
