==15752== NVPROF is profiling process 15752, command: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==15752== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==15752== Profiling application: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==15752== Profiling result:
==15752== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA GeForce GTX 1050 Ti (0)"
    Kernel: brute_force(unsigned char, unsigned char, bool, float*, unsigned long*)
    Kernel: brute_force_AL(unsigned char, float*, unsigned long*)
          7                             inst_per_warp                                                 Instructions per warp  4.4123e+05  4.4123e+05  4.4123e+05
          7                         branch_efficiency                                                     Branch Efficiency      96.55%      96.55%      96.55%
          7                 warp_execution_efficiency                                             Warp Execution Efficiency      83.67%      83.67%      83.67%
          7         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      75.08%      75.08%      75.08%
          7                      inst_replay_overhead                                           Instruction Replay Overhead    0.000004    0.000005    0.000005
          7      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          7     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          7       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          7      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          7              gld_transactions_per_request                                  Global Load Transactions Per Request    0.000000    0.000000    0.000000
          7              gst_transactions_per_request                                 Global Store Transactions Per Request    6.000000    6.000000    6.000000
          7                 shared_store_transactions                                             Shared Store Transactions           0           0           0
          7                  shared_load_transactions                                              Shared Load Transactions           0           0           0
          7                   local_load_transactions                                               Local Load Transactions           0           0           0
          7                  local_store_transactions                                              Local Store Transactions           0           0           0
          7                          gld_transactions                                              Global Load Transactions           2           2           2
          7                          gst_transactions                                             Global Store Transactions        1536        1536        1536
          7                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
          7                 sysmem_write_transactions                                      System Memory Write Transactions           5           5           5
          7                      l2_read_transactions                                                  L2 Read Transactions          96        1072         288
          7                     l2_write_transactions                                                 L2 Write Transactions        1549        1549        1549
          7                           global_hit_rate                                     Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
          7                            local_hit_rate                                                        Local Hit Rate       0.00%       0.00%       0.00%
          7                  gld_requested_throughput                                      Requested Global Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          7                  gst_requested_throughput                                     Requested Global Store Throughput  19.832MB/s  19.983MB/s  19.888MB/s
          7                            gld_throughput                                                Global Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          7                            gst_throughput                                               Global Store Throughput  19.832MB/s  19.983MB/s  19.888MB/s
          7                     local_memory_overhead                                                 Local Memory Overhead       0.00%       0.00%       0.00%
