==14997== NVPROF is profiling process 14997, command: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==14997== Profiling application: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==14997== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
486.01ms     379ns                    -               -         -         -         -         -           -           -           -                -         -         -  cudaGetLastError
486.01ms  3.5718ms                    -               -         -         -         -         -           -           -           -                -         -         -  cudaDeviceSynchronize
489.59ms  8.5690us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaLaunchKernel (reduce_argmin(float*, float*, unsigned long*) [136])
489.59ms  722.62us           (1024 1 1)      (1024 1 1)        12  12.000KB        0B         -           -           -           -  NVIDIA GeForce          1         7  reduce_argmin(float*, float*, unsigned long*) [136]
489.60ms     215ns                    -               -         -         -         -         -           -           -           -                -         -         -  cudaGetLastError
489.60ms  727.67us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaDeviceSynchronize
490.32ms  16.804us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMemcpy
490.34ms     896ns                    -               -         -         -         -        4B  4.2575MB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
490.34ms  8.1680us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMemcpy
490.35ms  1.0240us                    -               -         -         -         -        8B  7.4506MB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
490.36ms  4.9030us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMemcpyToSymbol
490.36ms  8.1890us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaLaunchKernel (brute_force_AL(unsigned char, float*) [142])
490.36ms     288ns                    -               -         -         -         -      840B  2.7164GB/s    Pageable      Device  NVIDIA GeForce          1         7  [CUDA memcpy HtoD]
490.37ms  2.5452ms           (1024 1 1)      (1024 1 1)        18        0B        0B         -           -           -           -  NVIDIA GeForce          1         7  brute_force_AL(unsigned char, float*) [142]
490.37ms     211ns                    -               -         -         -         -         -           -           -           -                -         -         -  cudaGetLastError
490.37ms  2.5504ms                    -               -         -         -         -         -           -           -           -                -         -         -  cudaDeviceSynchronize
492.92ms  5.6970us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaLaunchKernel (reduce_argmin(float*, float*, unsigned long*) [145])
492.93ms     174ns                    -               -         -         -         -         -           -           -           -                -         -         -  cudaGetLastError
492.93ms  729.59us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaDeviceSynchronize
492.93ms  724.51us           (1024 1 1)      (1024 1 1)        12  12.000KB        0B         -           -           -           -  NVIDIA GeForce          1         7  reduce_argmin(float*, float*, unsigned long*) [145]
493.66ms  9.6430us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMemcpy
493.66ms     704ns                    -               -         -         -         -        4B  5.4186MB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
493.67ms  7.3500us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMemcpy
493.67ms     800ns                    -               -         -         -         -        8B  9.5367MB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
493.68ms  4.6760us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMemcpyToSymbol
493.68ms  5.4070us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaLaunchKernel (brute_force_AL(unsigned char, float*) [151])
493.68ms     288ns                    -               -         -         -         -      840B  2.7164GB/s    Pageable      Device  NVIDIA GeForce          1         7  [CUDA memcpy HtoD]
493.69ms     201ns                    -               -         -         -         -         -           -           -           -                -         -         -  cudaGetLastError
493.69ms  2.5529ms                    -               -         -         -         -         -           -           -           -                -         -         -  cudaDeviceSynchronize
493.69ms  2.5472ms           (1024 1 1)      (1024 1 1)        18        0B        0B         -           -           -           -  NVIDIA GeForce          1         7  brute_force_AL(unsigned char, float*) [151]
496.24ms  4.4470us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaLaunchKernel (reduce_argmin(float*, float*, unsigned long*) [154])
496.25ms     161ns                    -               -         -         -         -         -           -           -           -                -         -         -  cudaGetLastError
496.25ms  726.95us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaDeviceSynchronize
496.25ms  721.02us           (1024 1 1)      (1024 1 1)        12  12.000KB        0B         -           -           -           -  NVIDIA GeForce          1         7  reduce_argmin(float*, float*, unsigned long*) [154]
496.97ms  11.724us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMemcpy
496.98ms     704ns                    -               -         -         -         -        4B  5.4186MB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
496.99ms  11.160us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMemcpy
496.99ms     832ns                    -               -         -         -         -        8B  9.1699MB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
497.00ms  7.9110us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMemcpyToSymbol
497.01ms  8.5900us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaLaunchKernel (brute_force_AL(unsigned char, float*) [160])
497.01ms     288ns                    -               -         -         -         -      840B  2.7164GB/s    Pageable      Device  NVIDIA GeForce          1         7  [CUDA memcpy HtoD]
497.02ms  2.5461ms           (1024 1 1)      (1024 1 1)        18        0B        0B         -           -           -           -  NVIDIA GeForce          1         7  brute_force_AL(unsigned char, float*) [160]
497.02ms     689ns                    -               -         -         -         -         -           -           -           -                -         -         -  cudaGetLastError
